Date,Close
1/2/2014 16:00:00,458.31
1/3/2014 16:00:00,457.84
1/6/2014 16:00:00,456.78
1/7/2014 16:00:00,457.27
1/8/2014 16:00:00,453.52
1/9/2014 16:00:00,453.9
1/10/2014 16:00:00,452.96
1/13/2014 16:00:00,452.18
1/14/2014 16:00:00,454.07
1/15/2014 16:00:00,454.11
1/16/2014 16:00:00,456.1
1/17/2014 16:00:00,453.8
1/21/2014 16:00:00,459.8
1/22/2014 16:00:00,463.86
1/23/2014 16:00:00,463.62
1/24/2014 16:00:00,460.6
1/27/2014 16:00:00,457.16
1/28/2014 16:00:00,459.93
1/29/2014 16:00:00,456.83
1/30/2014 16:00:00,459.42
1/31/2014 16:00:00,463.16
2/3/2014 16:00:00,459.61
2/4/2014 16:00:00,456.53
2/5/2014 16:00:00,456.13
2/6/2014 16:00:00,459.72
2/7/2014 16:00:00,464.48
2/10/2014 16:00:00,462.91
2/11/2014 16:00:00,466.3
2/12/2014 16:00:00,466.52
2/13/2014 16:00:00,467.41
2/14/2014 16:00:00,467.49
2/18/2014 16:00:00,467.88
2/19/2014 16:00:00,462.94
2/20/2014 16:00:00,460.44
2/21/2014 16:00:00,460.24
2/24/2014 16:00:00,457.85
2/25/2014 16:00:00,458.14
2/26/2014 16:00:00,463.89
2/27/2014 16:00:00,461.25
2/28/2014 16:00:00,459.14
3/3/2014 16:00:00,460.73
3/4/2014 16:00:00,462.93
3/5/2014 16:00:00,464.01
3/6/2014 16:00:00,462.08
3/7/2014 16:00:00,461.28
3/10/2014 16:00:00,459.57
3/11/2014 16:00:00,458.95
3/12/2014 16:00:00,457.82
3/13/2014 16:00:00,455.44
3/14/2014 16:00:00,459.2
3/17/2014 16:00:00,462.23
3/18/2014 16:00:00,464.26
3/19/2014 16:00:00,459.42
3/20/2014 16:00:00,460.6
3/21/2014 16:00:00,459.12
3/24/2014 16:00:00,457.44
3/25/2014 16:00:00,457.07
3/26/2014 16:00:00,457.77
3/27/2014 16:00:00,460.39
3/28/2014 16:00:00,463.18
3/31/2014 16:00:00,465.59
4/1/2014 16:00:00,472.62
4/2/2014 16:00:00,471.93
4/3/2014 16:00:00,473.58
4/4/2014 16:00:00,473.71
4/7/2014 16:00:00,469.32
4/8/2014 16:00:00,473.02
4/9/2014 16:00:00,475.13
4/10/2014 16:00:00,470.8
4/11/2014 16:00:00,476.59
4/14/2014 16:00:00,477.45
4/15/2014 16:00:00,476.94
4/16/2014 16:00:00,480.49
4/17/2014 16:00:00,482.63
4/21/2014 16:00:00,486.19
4/22/2014 16:00:00,486.51
4/23/2014 16:00:00,484.41
4/24/2014 16:00:00,481.97
4/25/2014 16:00:00,478.29
4/28/2014 16:00:00,479.57
4/29/2014 16:00:00,483.86
4/30/2014 16:00:00,482.29
5/1/2014 16:00:00,483.73
5/2/2014 16:00:00,486.13
5/5/2014 16:00:00,491.31
5/6/2014 16:00:00,488
5/7/2014 16:00:00,493.09
5/8/2014 16:00:00,485.4
5/9/2014 16:00:00,484.23
5/12/2014 16:00:00,486.06
5/13/2014 16:00:00,484.52
5/14/2014 16:00:00,488.04
5/15/2014 16:00:00,487.32
5/16/2014 16:00:00,489.11
5/19/2014 16:00:00,487.04
5/20/2014 16:00:00,488.88
5/21/2014 16:00:00,489.78
5/22/2014 16:00:00,493.07
5/23/2014 16:00:00,491.71
5/27/2014 16:00:00,490.97
5/28/2014 16:00:00,491.64
5/29/2014 16:00:00,491.54
5/30/2014 16:00:00,495.13
6/2/2014 16:00:00,498.26
6/3/2014 16:00:00,497.51
6/4/2014 16:00:00,500.1
6/5/2014 16:00:00,500.88
6/6/2014 16:00:00,503.73
6/9/2014 16:00:00,503.96
6/10/2014 16:00:00,504.5
